[0:00:03] 雪都: わこらだ
[0:00:09] soukunww: わこらだ
[0:00:09] r1n_t: わこらだ
[0:00:10] そらいろえのぐ: わこらだ
[0:00:13] jolevre: わこらだ
[0:00:14] lapan7200: わこらだ
[0:00:14] Azukikun0v0: わこらだ
[0:00:14] yuimiti: わこらだ
[0:00:14] ぱんだぁぁぁ: わこらだ
[0:00:15] piroropiro: radaoWakotu radaoWakotu radaoWakotu
[0:00:16] ちゃむいか: わこらだ
[0:00:16] kyabetsu_517172: わこらだ
[0:00:16] いのりさん: わこらだ！
[0:00:16] たちかわ34: わこらだ
[0:00:16] mokkii11: え！？？
[0:00:16] せらな: わこらま！
[0:00:16] mamo0926: わこらだ！
[0:00:16] コウノ: コウノ subscribed with Prime. They've subscribed for 20 months! 
[0:00:16] そー司郎: わこらだ
[0:00:16] unauna713: わこらだ
[0:00:17] ﾅﾏﾁｬ: わこらだ
[0:00:17] アマノジャクだよ: わこらだ
[0:00:17] ラボア: わこらだ〜
[0:00:17] まかろん_: え！？
[0:00:17] 哀れな人の子: わこらだ
[0:00:17] masao0203: わこらだ！！
[0:00:17] am4kumo: わこらだ
[0:00:18] rd_rururu: わこらだ
[0:00:18] nemugonta_6241: わこらだ
[0:00:18] anp01008: わこらだ
[0:00:18] rg_irece: わこらだ
[0:00:18] rain31220: わこらだ
[0:00:18] sizk5042: わこらだ
[0:00:19] く一ろ: わこらだ
[0:00:19] aremakl: わこらだ
[0:00:19] drem_chan: わこらだまじ？！？！
[0:00:19] panndaman1: わこらだ
[0:00:19] shakekan0701: わこらだ
[0:00:19] あきぬこ: ！？！！？？
[0:00:19] 夢現: どういうメンツｗ
[0:00:20] その辺のねこ: わこらだ
[0:00:20] meychan_ty: わこらだ
[0:00:20] norika0710: わこらだ
[0:00:20] siwanasi: わこらだ
[0:00:20] 1miri_03: わこらだ
[0:00:20] roro_131: わこらだ
[0:00:20] luno_snow: わこらだ
[0:00:20] nerg71: わこらだ
[0:00:20] Yuri_0710: わこらだ
[0:00:20] nishimana: わこらだ
[0:00:20] Fuku_2929: わこらだ
[0:00:20] kotyopann: わこらだ
[0:00:20] かりんりんだよぅ: わこらだ
[0:00:20] もあいんぐ: わこらだ
[0:00:20] rei5566: わこらだ
[0:00:21] enu_xo: わこらだ
[0:00:21] よわはと: わこらだ
[0:00:21] SHIROMA_468: わこらだ
[0:00:21] しぃきょん: わこらだ
[0:00:21] おむりゃいす: わこらだ
[0:00:21] 表示名削除したい: わこらだ
[0:00:21] つーさん_0: わこらだ
[0:00:21] ruu_ha: わこらだ
[0:00:21] yonku_2512: メンバーなに？！
[0:00:21] rsk010: わこらだ
[0:00:21] fuucyann: わこらだ
[0:00:21] saa_o331: わこらだ
[0:00:21] itahash: わこらだ
[0:00:21] muru1113: わこらだ
[0:00:21] miki___24: わこらだ
[0:00:24] じあい: わこらだ
[0:00:24] るきち: わこらだ
[0:00:24] うりね: ！？！？！？！？
[0:00:24] アヴー: わこらだ！？
[0:00:24] ゆうがり: わこらだ
[0:00:24] gaiantufan: わこらだ
[0:00:24] mikumiku_ru: わこらだ
[0:00:24] tudacosu: え！？
[0:00:24] suibotu_: わこらだ
[0:00:24] edamaamee10: わこらだ
[0:00:24] mawt___: 何メンツこれ！？
[0:00:24] ごま塩プリン: わこらだ
[0:00:24] sign_c: わこらだ
[0:00:24] スパーズ: わこらだ
[0:00:24] sobayu120: わこらだ
[0:00:25] ryuryu_ryu: わこらだ
[0:00:25] rain_0113: わこらだ
[0:00:25] skybig403: わこらだ
[0:00:25] pooohchan: わこらだ〜
[0:00:25] r_karage: わこらだ！！
[0:00:26] mintos3: わこらだ
[0:00:26] rin_0505: わこらだー
[0:00:26] かてゅ: 鬱先生！？
[0:00:26] rikutaronron: わこらだ
[0:00:26] suit_poteto: やばすぎ
[0:00:26] maru0330: わこらだ
[0:00:26] mihhi_1126: わこらだ
[0:00:26] radaotyan: だるさか！？
[0:00:26] kuro9651: わこらだー
[0:00:26] usuakamin: OMG！！！
[0:00:26] chisatooo_87: ？！！
[0:00:26] ちょーみん: わこらだー
[0:00:27] kurui440: わこらだ
[0:00:27] ポテチの子: わこらだ！
[0:00:27] orange_6003: メンバーおもろすぎwww
[0:00:27] mamimu19: すごいメンツじゃない？
